Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA
3.5,8.6,7.5,401,11.9,0.9,4.2,8.4,8.652,0.123,3.02,2.835,0.259,6.94,0.084,0.3,5.3,15.1,0.012,0.0035,0.0188,0.187,0.048,1.68
4.4,6.8,7.6,460,13.1,1.2,4.2,7,9.747,0.126,2.778,2.77,0.268,7.87,0.081,0.4,4.96,13.32,0.011,0.0141,0.034,0.414,0.045,1.62
3.8,7,7.6,414,12.9,1.4,4.9,4.9,9.051,0.132,3.116,2.683,0.337,7.42,0.062,0.4,6.53,13.7,0.014,0.0136,0.0124,1.096,0.057,2.12
5.8,7.5,7.5,376,11.9,1.7,4.1,14.6,8.095,0.17,3.977,3.41,0.269,5.644,0.084,0.4,7.34,29.43,0.018,0.0137,0.0213,0.643,0.072,2.11
3.1,5.1,7.8,373,11.9,1.4,4.6,29,8.785,0.145,3.282,2.689,0.292,7.428,0.068,0.4,7.75,35.54,0.034,0.0193,0.0219,0.882,0.068,2.54
4,4.2,7.5,397,12.7,1.3,4.8,28.2,8.88,0.168,3.197,2.454,0.536,6.996,0.076,0.4,5.79,14.57,0.027,0.0116,0.016,0.729,0.054,2.19
3.7,5,7.6,401,12.4,2.2,4.8,32,10.19,0.2,4.069,2.652,0.748,7.548,0.082,0.5,6.04,16.82,0.026,0.0113,0.0173,0.656,0.052,1.98
4.6,4.7,7.7,391,12.4,1.9,5.7,19.2,8.45,0.18,3.689,3.079,0.595,6.428,0.093,0.5,4.33,8.23,0.042,0.0113,0.0114,0.99,0.084,2.72
4.7,7.8,7.6,388,11.6,2,4.4,12.3,8.87,0.155,2.766,2.374,0.584,6.674,0.087,0.7,6.25,16.99,0.027,0.012,0.0174,0.688,0.053,2.25
3.8,6.8,7.5,346,12,2,6.4,91.5,8.58,0.335,3.857,2.954,0.28,6.606,0.106,0.5,5.72,15.07,0.034,0.0128,0.0167,0.766,0.068,2.32
2.7,7.3,7.6,356,12,1.3,4.8,38.7,9.05,0.19,3.395,2.428,0.298,6.338,0.081,0.4,4.85,9.49,0.047,0.0144,0.0116,1.238,0.095,3.91
2,7.9,7.6,341,12.2,1.5,4.6,33.3,7.24,0.145,3.153,2.329,0.29,5.788,0.059,0.5,4.54,10.07,0.031,0.0114,0.0132,0.862,0.063,2.69
7.3,8.7,7.7,438,12.3,1.9,5,16,9.68,0.18,3.739,3.041,0.41,6.81,0.078,0.5,4.61,8.91,0.041,0.0124,0.0123,1.014,0.081,2.67
9.9,11.2,7.6,354,11.2,3.6,8.7,111,8.42,0.43,6.756,4.014,0.414,5.046,0.107,0.5,5.11,12.26,0.048,0.0135,0.0151,0.897,0.096,2.39
21.5,13.7,8,431,11,5.1,8.7,30,8.42,0.43,5.168,4.159,0.959,5.946,0.12,1,4.95,11.39,0.051,0.0133,0.0141,0.949,0.103,2.47
5.1,16.7,7.5,370,9.1,3.2,8.3,21.7,5.515,0.3,5.984,5.247,0.325,4.272,0.164,0.5,5.12,13.54,0.064,0.0138,0.016,0.863,0.128,2.44
